Date,Article Sentiment,Impact Score,Stock Code
2015-01-01,0.022,71.208,AAPL
2014-12-31,0.259,71.755,AAPL
2014-12-30,0.149,71.21,AAPL
2014-12-29,0.105,71.367,AAPL
2014-12-28,0.155,71.32,AAPL
2014-12-27,-0.561,72.061,AAPL
2014-12-26,0.105,70.818,AAPL
2014-12-25,0.288,70.34,AAPL
2014-12-24,0.18,70.94,AAPL
2014-12-23,0.159,71.167,AAPL
2014-12-22,0.044,70.581,AAPL
2014-12-21,-0.117,70.904,AAPL
2014-12-20,-0.213,72.098,AAPL
2014-12-19,0.051,70.923,AAPL
2014-12-18,-0.364,72.005,AAPL
2014-12-17,-0.216,71.269,AAPL
2014-12-16,-0.031,71.008,AAPL
2014-12-15,0.192,71.699,AAPL
2014-12-14,-0.098,71.384,AAPL
2014-12-13,0.003,71.06,AAPL
2014-12-12,0.054,70.388,AAPL
2014-12-11,0.023,70.529,AAPL
2014-12-10,-0.306,70.24,AAPL
2014-12-09,-0.298,72.24,AAPL
2014-12-08,-0.304,70.852,AAPL
2014-12-07,-0.633,70.726,AAPL
2014-12-06,-0.148,70.984,AAPL
2014-12-05,-0.069,71.093,AAPL
2014-12-04,-0.174,71.364,AAPL
2014-12-03,-0.268,71.692,AAPL
2014-12-02,-0.205,71.176,AAPL
2014-12-01,0.048,70.471,AAPL
2014-11-30,0.307,70.543,AAPL
2014-11-29,0.195,70.18,AAPL
2014-11-28,-0.13,71.437,AAPL
2014-11-27,0.005,71.933,AAPL
2014-11-26,-0.097,71.114,AAPL
2014-11-25,-0.022,70.931,AAPL
2014-11-24,-0.055,70.159,AAPL
2014-11-23,0.337,70.089,AAPL
2014-11-22,0.146,71.432,AAPL
2014-11-21,-0.203,71.423,AAPL
2014-11-20,-0.134,70.422,AAPL
2014-11-19,0.153,71.622,AAPL
2014-11-18,0.296,70.747,AAPL
2014-11-17,0.21,72.021,AAPL
2014-11-16,-0.051,71.723,AAPL
2014-11-15,-0.317,72.427,AAPL
2014-11-14,-0.079,71.303,AAPL
2014-11-13,-0.34,71.3,AAPL
2014-11-12,-0.351,72.123,AAPL
2014-11-11,-0.011,71.539,AAPL
2014-11-10,-0.196,72.696,AAPL
2014-11-09,-0.194,72.333,AAPL
2014-11-08,-0.221,73.308,AAPL
2014-11-07,-0.225,74.702,AAPL
2014-11-06,-0.069,71.869,AAPL
2014-11-05,-0.057,71.329,AAPL
2014-11-04,0.135,70.771,AAPL
2014-11-03,-0.029,71.137,AAPL
2014-11-02,-0.149,70.998,AAPL
2014-11-01,0.012,70.53,AAPL
2014-10-31,-0.066,70.437,AAPL
2014-10-30,-0.349,70.962,AAPL
2014-10-29,-0.12,70.596,AAPL
2014-10-28,-0.296,70.301,AAPL
2014-10-27,-0.147,70.509,AAPL
2014-10-26,0.009,71.167,AAPL
2014-10-25,0.185,70.665,AAPL
2014-10-24,-0.054,70.699,AAPL
2014-10-23,-0.126,71.722,AAPL
2014-10-22,0.245,72.114,AAPL
2014-10-21,0.233,71.15,AAPL
2014-10-20,0.267,71.35,AAPL
2014-10-19,0.136,71.008,AAPL
2014-10-18,0.208,70.902,AAPL
2014-10-17,0.203,70.228,AAPL
2014-10-16,-0.345,70.772,AAPL
2014-10-15,-0.471,71.346,AAPL
2014-10-14,-0.016,71.434,AAPL
2014-10-13,0.146,71.36,AAPL
2014-10-12,-0.071,71.545,AAPL
2014-10-11,0.22,72.127,AAPL
2014-10-10,0.277,73.729,AAPL
2014-10-09,-0.136,71.952,AAPL
2014-10-08,-0.03,72.009,AAPL
